Timestamp,Nama Lengkap,No WhatsApp / HP,Email,Kategori Jemaat,Alamat Lengkap,Kota,Kode QR
06/08/2026 10:00:00,Budi Santoso,081234567890,budi.santoso@gmail.com,Jemaat Umum,Jl. Merdeka No. 12 RT 02/05,Jakarta Pusat,gbt-8492019482
06/08/2026 10:05:00,Siti Rahmawati,085678901234,siti.rahma@gmail.com,Pelayan,Jl. Melati No. 45,Surabaya,gbt-3920184729
06/08/2026 10:10:00,Daniel Wijaya,087812345678,daniel.w@gmail.com,Pemuda,Jl. Mawar No. 8,Bandung,gbt-9182736450
06/08/2026 10:15:00,Grace Nathania,082198765432,grace.n@gmail.com,Jemaat Umum,Jl. Diponegoro No. 88,Semarang,gbt-5463728190
06/08/2026 10:20:00,Michael Christian,081399887766,michael.c@gmail.com,Anak,Jl. Pemuda No. 101,Yogyakarta,gbt-1029384756
06/08/2026 10:25:00,Jonathan Edward,081211223344,jonathan.e@gmail.com,Pelayan,Jl. Sudirman No. 15,Medan,gbt-7788990011
06/08/2026 10:30:00,Esther Olivia,085733445566,esther.o@gmail.com,Pemuda,Jl. Gajah Mada No. 22,Malang,gbt-6655443322
06/08/2026 10:35:00,Samuel Harianja,081988776655,samuel.h@gmail.com,Jemaat Umum,Jl. Veteran No. 50,Palembang,gbt-9988776655
06/08/2026 10:40:00,Rachel Clarissa,082244556677,rachel.c@gmail.com,Anak,Jl. Pahlawan No. 3,Solo,gbt-1122334455
06/08/2026 10:45:00,David Setiawan,087711223344,david.s@gmail.com,Pelayan,Jl. Gatot Subroto No. 77,Denpasar,gbt-5544332211
